file,status,located,ambiguous,unlocated,blocker
Libraries/Source/WWVegas/WWLib/palette.cpp,ok,0,0,11,
Libraries/Source/WWVegas/WWLib/pcx.cpp,ok,0,4,6,
Libraries/Source/WWVegas/WWLib/pkpipe.cpp,ok,0,3,10,
Libraries/Source/WWVegas/WWLib/pkstraw.cpp,ok,0,3,10,
Libraries/Source/WWVegas/WWLib/point.cpp,ok,0,0,0,
Libraries/Source/WWVegas/WWLib/ramfile.cpp,ok,0,2,9,
Libraries/Source/WWVegas/WWLib/rc4.cpp,ok,0,0,7,
Libraries/Source/WWVegas/WWLib/rcfile.cpp,compile-error,0,0,0,C2065 'HRSRC' : undeclared identifier
Libraries/Source/WWVegas/WWLib/refcount.cpp,ok,0,0,0,
Libraries/Source/WWVegas/WWLib/regexpr.cpp,missing-header,0,0,0,gnu_regex.h
Libraries/Source/WWVegas/WWLib/registry.cpp,compile-error,0,0,0,C2143 syntax error : missing ';' before 'const'
Libraries/Source/WWVegas/WWLib/rgb.cpp,ok,0,0,5,
Libraries/Source/WWVegas/WWLib/rle.cpp,ok,0,0,4,
Libraries/Source/WWVegas/WWLib/rndstraw.cpp,ok,0,1,9,
Libraries/Source/WWVegas/WWLib/rndstrng.cpp,ok,0,0,4,
Libraries/Source/WWVegas/WWLib/sampler.cpp,ok,0,5,14,
Libraries/Source/WWVegas/WWLib/sha.cpp,compile-error,0,0,0,"C2084 function 'void *operator new[](size_t,void *)' already has a body"
Libraries/Source/WWVegas/WWLib/shapipe.cpp,ok,0,0,1,
Libraries/Source/WWVegas/WWLib/shastraw.cpp,ok,0,0,1,
Libraries/Source/WWVegas/WWLib/slnode.cpp,ok,0,2,0,
Libraries/Source/WWVegas/WWLib/srandom.cpp,compile-error,0,0,0,"C3861 'GetDiskFreeSpace': identifier not found, even with argument-dependent lookup"
Libraries/Source/WWVegas/WWLib/surface.cpp,ok,0,0,0,
Libraries/Source/WWVegas/WWLib/tagblock.cpp,ok,0,2,36,
Libraries/Source/WWVegas/WWLib/textfile.cpp,ok,0,2,3,
Libraries/Source/WWVegas/WWLib/tgatodxt.cpp,ok,0,0,0,
Libraries/Source/WWVegas/WWLib/thread.cpp,compile-error,0,0,0,"C3861 'GetExceptionCode': identifier not found, even with argument-dependent lookup"
Libraries/Source/WWVegas/WWLib/vector.cpp,ok,0,3,13,
Libraries/Source/WWVegas/WWLib/verchk.cpp,missing-header,0,0,0,winnt.h
Libraries/Source/WWVegas/WWLib/widestring.cpp,compile-error,0,0,0,C2065 'CP_ACP' : undeclared identifier
Libraries/Source/WWVegas/WWLib/win.cpp,ok,0,0,0,
Libraries/Source/WWVegas/WWLib/wwfile.cpp,ok,0,0,3,
Libraries/Source/WWVegas/WWLib/wwfont.cpp,ok,0,3,12,
Libraries/Source/WWVegas/WWLib/wwmouse.cpp,compile-error,0,0,0,C2146 syntax error : missing ';' before identifier 'TimerHandle'
Libraries/Source/WWVegas/WWLib/xsurface.cpp,ok,1,2,28,
Libraries/Source/WWVegas/WWMath/aabtreecull.cpp,ok,0,25,69,
Libraries/Source/WWVegas/WWMath/cardinalspline.cpp,ok,1,30,35,
Libraries/Source/WWVegas/WWMath/catmullromspline.cpp,ok,1,20,26,
Libraries/Source/WWVegas/WWMath/colmathobbox.cpp,ok,5,4,3,
Libraries/Source/WWVegas/WWMath/curve.cpp,ok,0,35,51,
Libraries/Source/WWVegas/WWMath/euler.cpp,ok,0,1,3,
Libraries/Source/WWVegas/WWMath/hermitespline.cpp,ok,1,21,49,
Libraries/Source/WWVegas/WWMath/tcbspline.cpp,ok,1,19,28,
Libraries/Source/WWVegas/WWSaveLoad/definition.cpp,ok,0,1,5,
Libraries/Source/WWVegas/WWSaveLoad/definitionfactory.cpp,ok,0,0,2,
Libraries/Source/WWVegas/WWSaveLoad/definitionfactorymgr.cpp,ok,0,0,9,
Libraries/Source/WWVegas/WWSaveLoad/definitionmgr.cpp,ok,0,20,34,
Libraries/Source/WWVegas/WWSaveLoad/parameter.cpp,ok,3,62,198,
Libraries/Source/WWVegas/WWSaveLoad/persistfactory.cpp,ok,0,0,2,
Libraries/Source/WWVegas/WWSaveLoad/saveload.cpp,ok,0,0,28,
Libraries/Source/WWVegas/WWSaveLoad/saveloadstatus.cpp,ok,0,0,3,
Libraries/Source/WWVegas/WWSaveLoad/saveloadsubsystem.cpp,ok,0,2,2,
Libraries/Source/WWVegas/WWSaveLoad/twiddler.cpp,ok,0,25,13,
Libraries/Source/WWVegas/WWSaveLoad/wwsaveload.cpp,ok,0,0,0,
Libraries/Source/WWVegas/Wwutil/mathutil.cpp,missing-header,0,0,0,mathutil.h
Libraries/Source/WWVegas/Wwutil/miscutil.cpp,missing-header,0,0,0,miscutil.h
Libraries/Source/WWVegas/wwshade/shd6bumpdiff.cpp,missing-header,0,0,0,shdbumpdiff.h
Libraries/Source/WWVegas/wwshade/shd6bumpspec.cpp,missing-header,0,0,0,shdbumpspec.h
Libraries/Source/WWVegas/wwshade/shd7bumpdiff.cpp,missing-header,0,0,0,shdhwshader.h
Libraries/Source/WWVegas/wwshade/shd7bumpspec.cpp,missing-header,0,0,0,shdbumpspec.h
Libraries/Source/WWVegas/wwshade/shd8bumpdiff.cpp,missing-header,0,0,0,shdmesh.h
Libraries/Source/WWVegas/wwshade/shd8bumpspec.cpp,missing-header,0,0,0,shdmesh.h
Libraries/Source/WWVegas/wwshade/shdbumpdiff.cpp,missing-header,0,0,0,shdbumpdiff.h
Libraries/Source/WWVegas/wwshade/shdbumpspec.cpp,missing-header,0,0,0,shdbumpspec.h
Libraries/Source/WWVegas/wwshade/shdcubemap.cpp,missing-header,0,0,0,shdcubemap.h
Libraries/Source/WWVegas/wwshade/shddef.cpp,missing-header,0,0,0,shddef.h
Libraries/Source/WWVegas/wwshade/shddeffactory.cpp,missing-header,0,0,0,shddeffactory.h
Libraries/Source/WWVegas/wwshade/shddefmanager.cpp,missing-header,0,0,0,shddef.h
Libraries/Source/WWVegas/wwshade/shdforcelinks.cpp,missing-header,0,0,0,shdforcelinks.h
Libraries/Source/WWVegas/wwshade/shdglossmask.cpp,missing-header,0,0,0,shdglossmask.h
Libraries/Source/WWVegas/wwshade/shdhwshader.cpp,missing-header,0,0,0,shdhwshader.h
Libraries/Source/WWVegas/wwshade/shdinterface.cpp,missing-header,0,0,0,shdinterface.h
Libraries/Source/WWVegas/wwshade/shdlegacyw3d.cpp,missing-header,0,0,0,shdlegacyw3d.h
Libraries/Source/WWVegas/wwshade/shdlib.cpp,missing-header,0,0,0,shdloader.h
Libraries/Source/WWVegas/wwshade/shdloader.cpp,missing-header,0,0,0,shdloader.h
Libraries/Source/WWVegas/wwshade/shdmesh.cpp,missing-header,0,0,0,shdmesh.h
Libraries/Source/WWVegas/wwshade/shdrenderer.cpp,missing-header,0,0,0,shdrenderer.h
Libraries/Source/WWVegas/wwshade/shdsimple.cpp,missing-header,0,0,0,shdsimple.h
Libraries/Source/WWVegas/wwshade/shdsubmesh.cpp,missing-header,0,0,0,shddefmanager.h
Libraries/Source/debug/_pch.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/debug_cmd.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/debug_debug.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/debug_dlg/debug_dlg.cpp,missing-header,0,0,0,commctrl.h
Libraries/Source/debug/debug_except.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/debug_getdefaultcommands.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/debug_io_con.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/debug_io_flat.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/debug_io_net.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/debug_io_ods.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/debug_purecall.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/debug_stack.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/debug/netserv/netserv.cpp,compile-error,0,0,0,"C3861 'ci': identifier not found, even with argument-dependent lookup"
Libraries/Source/debug/test1/test1.cpp,missing-header,0,0,0,../debug.h
Libraries/Source/debug/test2/StdAfx.cpp,missing-header,0,0,0,stdafx.h
Libraries/Source/debug/test2/test2.cpp,missing-header,0,0,0,stdafx.h
Libraries/Source/debug/test3/test3.cpp,missing-header,0,0,0,../debug.h
Libraries/Source/debug/test4/test4.cpp,missing-header,0,0,0,../debug.h
Libraries/Source/debug/test5/test5.cpp,missing-header,0,0,0,../debug.h
Libraries/Source/debug/test6/test6.cpp,missing-header,0,0,0,../debug.h
Libraries/Source/profile/_pch.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/profile/profile.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/profile/profile_cmd.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/profile/profile_funclevel.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/profile/profile_highlevel.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/profile/profile_result.cpp,missing-header,0,0,0,_pch.h
Libraries/Source/profile/test1/test1.cpp,missing-header,0,0,0,../profile.h
Libraries/Source/template.cpp,ok,0,0,0,
